"Class","Predictor","Coefficient","Std_Error","Z_value","P_value","Significance"
"Ne, žádná krize není","`obor_konkuren^4`",-0.201830870172521,1.03855093275659,-0.19433892340437,0.845910510095914,""
"Ne, žádná krize není","obor_tlak.L",-0.471017082930065,0.426222999458946,-1.10509541608027,0.269118246648516,""
"Ne, žádná krize není","obor_tlak.Q",0.0974805311161788,0.638598247662208,0.152647664588867,0.87867613453606,""
"Ne, žádná krize není","obor_tlak.C",-0.0844469815717008,0.802819010883495,-0.105188069075205,0.916226577699174,""
"Ne, žádná krize není","obor_rychly.L",-0.0914565744626974,0.477203618201445,-0.191651049938373,0.848015551577151,""
"Ne, žádná krize není","obor_rychly.Q",0.0348299117015706,0.749343240155678,0.0464805843772402,0.962927208781393,""
"Ne, žádná krize není","obor_rychly.C",-0.175492052864789,0.301423036161197,-0.58221181466349,0.560424016240319,""
"Ne, žádná krize není","`obor_rychly^4`",0.11929511554171,0.882752973879154,0.135139862534228,0.892501293501404,""
"Ne, žádná krize není","obor_priliv.L",-0.0169302741339051,0.599949526107312,-0.0282194974696534,0.977487086684036,""
"Ne, žádná krize není","obor_priliv.Q",0.330815041084746,0.620933564781345,0.53277042802677,0.594192506819408,""
"Ne, žádná krize není","obor_priliv.C",0.26495787763272,0.345457018493103,0.7669778393517,0.443094691444422,""
"Ne, žádná krize není","`obor_priliv^4`",0.0990389936541129,0.588001539608548,0.168433221654566,0.866242474330753,""
"Ne, žádná krize není","obor_publikac.L",0.150670310272114,0.661324791814985,0.227831032704224,0.819777600448279,""
"Ne, žádná krize není","obor_publikac.Q",-0.221621921352242,0.689423630344413,-0.321459711558664,0.747862038864854,""
"Ne, žádná krize není","obor_publikac.C",-0.120135950578896,0.378511877483124,-0.31739017379779,0.750947562261275,""
"Ne, žádná krize není","`obor_publikac^4`",0.269353549166405,0.64452390360045,0.417910876015207,0.67601228035175,""
"Ne, žádná krize není","obor_medializ.L",-0.309226629165293,0.561267679746647,-0.550943231409435,0.581672590623811,""
"Ne, žádná krize není","obor_medializ.Q",-0.248916514023842,0.813246485627465,-0.306077577244972,0.75954557992724,""
"Ne, žádná krize není","obor_medializ.C",-0.0213023579102867,0.328153328285775,-0.0649158672915709,0.94824098696983,""
"Ne, žádná krize není","`obor_medializ^4`",-0.365562188225489,0.932684601495809,-0.391946203077881,0.69509796354804,""
"Ne, žádná krize není","obor_verejnos.L",-0.238055826712252,0.543504508259713,-0.438001567778161,0.661385146937571,""
"Ne, žádná krize není","obor_verejnos.Q",0.105230017391602,0.539446646829254,0.195070296590256,0.845337915744952,""
"Ne, žádná krize není","obor_verejnos.C",0.193698612884571,0.346715942410053,0.558666588960851,0.576389285521359,""
"Ne, žádná krize není","`obor_verejnos^4`",0.246401802315803,0.471515646200317,0.522573968226545,0.601270759840713,""
"Ne, žádná krize není","obor_komplexn.L",-0.0419634279259227,0.914254309107254,-0.0458990759003356,0.963390690727303,""
"Ne, žádná krize není","obor_komplexn.Q",-0.0880722669570871,1.02726187626696,-0.0857349707916146,0.931677101794344,""
"Ne, žádná krize není","obor_komplexn.C",-0.347806443439482,0.533118046811927,-0.65240043086026,0.514142886474567,""
"Ne, žádná krize není","`obor_komplexn^4`",0.062367618480252,0.939539836195486,0.0663810261976752,0.947074475781346,""
"Ne, žádná krize není","obor_mensi.L",-0.168943632231354,0.387829553645753,-0.435613095090915,0.663117468151418,""
"Ne, žádná krize není","obor_mensi.Q",-0.0269930567431106,0.50810549564842,-0.0531249060958558,0.957632387274436,""
"Ne, žádná krize není","obor_mensi.C",-0.0850776737794966,0.297887322994705,-0.285603539365819,0.775181792308243,""
"Ne, žádná krize není","`obor_mensi^4`",0.0668303922683456,0.555521486406178,0.120302083544401,0.904243853671219,""
"Ne, žádná krize není","obor_ekzaktnost.L",0.0923293449431918,0.269727640010513,0.342305834654517,0.732120745095165,""
"Ne, žádná krize není","obor_ekzaktnost.Q",-0.394695127714109,0.356483103252219,-1.10719168486046,0.268211061843778,""
"Ne, žádná krize není","vek.L",0.811972797738874,0.779861845939113,1.04117517989496,0.29779425275816,""
"Ne, žádná krize není","vek.Q",0.184542029947089,0.478540520242454,0.385635117907237,0.699766920929158,""
"Ne, žádná krize není","vek.C",-0.313863766726439,0.3908313182148,-0.803067083160261,0.421935962101999,""
"Ne, žádná krize není","`vek^4`",-0.256254581746037,0.34035731761361,-0.752898699351454,0.451510789782504,""
"Ne, žádná krize není","kar_praxe.L",0.271454195076002,0.808719539001402,0.335659251427498,0.737127837348726,""
"Ne, žádná krize není","kar_praxe.Q",0.448643776857509,0.487202859373095,0.920856206457406,0.357125505422938,""
"Ne, žádná krize není","kar_praxe.C",-0.406581128975881,0.371076050732339,-1.09568140593679,0.27321822264379,""
"Ne, žádná krize není","kar_titul.L",0.169841035392774,0.653881343498831,0.259742898434719,0.795062099818763,""
"Ne, žádná krize není","kar_titul.Q",-0.0819852881341032,0.489085997503335,-0.167629595925089,0.8668746864656,""
"Ne, žádná krize není","kar_titul.C",-0.209596335461328,0.518019265272679,-0.404611082082051,0.685763411257904,""
"Ne, žádná krize není","`kar_titul^4`",-0.427696052977981,0.454397362100434,-0.941237975064321,0.346582920041158,""
"Ne, žádná krize není","kar_citace.L",0.267264049138689,0.590464669073379,0.452633431155345,0.650812721561717,""
"Ne, žádná krize není","kar_citace.Q",0.326384024043743,0.466752272242319,0.699266063506804,0.48438577127853,""
"Ne, žádná krize není","kar_citace.C",0.197927107991052,0.334125538282595,0.592373480364287,0.55360052073774,""
"Ne, žádná krize není","`kar_citace^4`",0.199010608699686,0.324534264690613,0.613219096878438,0.539731479254072,""
"Ne, žádná krize není","pomer_zakladni.L",0.0864818055921053,0.73456311981966,0.117732300000764,0.906279773052371,""
"Ne, žádná krize není","pomer_zakladni.Q",-0.119986656328876,0.698759601310373,-0.171713785547801,0.863662547496073,""
"Ne, žádná krize není","pomer_zakladni.C",-0.194992847290972,0.690863687300817,-0.282245037444077,0.7777556266078,""
"Ne, žádná krize není","`pomer_zakladni^4`",-0.155432328969858,0.624193040671443,-0.249013236037781,0.803350542969019,""
"Ne, žádná krize není","`pomer_zakladni^5`",-0.24543528308302,0.577484264577935,-0.425007741574398,0.67083103126777,""
"Ne, žádná krize není","`pomer_zakladni^6`",-0.492753114393933,0.669992151744003,-0.735461024597507,0.462058768406563,""
"Ne, žádná krize není","`pomer_zakladni^7`",0.248459379035006,0.607807723732576,0.408779568494466,0.682701435137333,""
"Ne, žádná krize není","`pomer_zakladni^8`",0.0955768994524855,0.582412764411117,0.164105090569442,0.869648414449719,""
"Ne, žádná krize není","cinnost_exper.L",0.00668007594767382,0.417375273275821,0.0160049633396929,0.987230432030348,""
"Ne, žádná krize není","cinnost_exper.Q",-0.184546881367687,0.378193537862231,-0.487969420130372,0.625571501478721,""
"Ne, žádná krize není","cinnost_exper.C",-0.221639955066175,0.368867005894663,-0.600866847737171,0.547928675796432,""
"Ne, žádná krize není","kar_nejlepsiNe",-0.513281166470935,0.315417347263855,-1.62730798075466,0.103671703765317,""
"Ne, žádná krize není","spec_hlavniBiology",-0.281185414198631,0.454386262945044,-0.618824636942511,0.536031890112928,""
"Ne, žádná krize není","spec_hlavniEngineering",-0.00631940268373842,1.32042729304753,-0.00478587705435359,0.996181437165557,""
"Ne, žádná krize není","spec_hlavniMedicine",-0.1970644203345,0.807386740081266,-0.244076860012173,0.80717129369075,""
"Ne, žádná krize není","spec_hlavniMathematics",-0.0715640446370318,1.0830985709438,-0.0660734364875686,0.947319359236772,""
"Ne, žádná krize není","spec_hlavniOther",-0.103374697117145,0.854181404966717,-0.121021947464628,0.903673651400068,""
"Ne, žádná krize není","spec_hlavniMaterials",0.401034368374589,0.583035390426506,0.687838808689163,0.491554294078766,""
"Ne, žádná krize není","spec_hlavniPhysics",0.519459119527781,0.512525021009894,1.01352928780769,0.310807414084795,""
"Ne, žádná krize není","spec_hlavniEarth_Env",0.198446435430863,0.637095084779902,0.311486370200801,0.755430902895641,""
"Ne, žádná krize není","spec_hlavniAstronomy",0.0212322396570473,1.60413406425615,0.0132359508660474,0.989439547505644,""
"Ne, žádná krize není","genderOstatní",-0.0634122291370306,2.28360065527891,-0.0277685281752057,0.977846767156356,""
"Ne, žádná krize není","genderŽena",0.040557751993732,0.346491621930613,0.117052619534489,0.906818355676545,""
